season_age,pick_group,x18,x19,x20,x21,x22,x23
39,2-5,NA,1.703361444,NA,2.32482446,NA,1.208278121
40,2-5,NA,NA,NA,1.687121062,NA,0.009156224
18,6-10,-0.556386963,NA,NA,NA,NA,NA
19,6-10,0.713492845,0.215124317,NA,NA,NA,NA
20,6-10,1.878540687,1.305011069,0.998393932,NA,NA,NA
21,6-10,3.371530549,1.954650092,1.938782105,2.579740856,NA,NA
22,6-10,4.946773601,1.872340039,2.938508166,3.57984445,1.807148386,NA
23,6-10,4.318176649,2.401733061,3.37172766,3.792729183,1.751761263,0.329360923
24,6-10,4.019667221,2.530481284,3.57999986,4.177488831,2.599599109,2.603811822
25,6-10,5.560510367,4.034636781,3.43584972,4.817103115,2.873202236,2.838768942
26,6-10,1.65784112,2.704752751,3.69398112,4.34240247,2.769286001,0.697943265
27,6-10,2.273865121,2.90870387,3.667360973,5.275518805,3.670216946,4.329127666
28,6-10,7.38669994,1.604411883,3.805016535,4.381136786,3.798661415,4.298367296
29,6-10,2.150163361,2.220622336,4.813305488,2.915127224,2.762601691,3.77802989
30,6-10,-0.078631232,2.392933847,4.217972651,1.714830539,1.728419623,3.952527764
31,6-10,3.470214558,2.375552287,3.105223782,2.290460626,1.730735166,2.577515058
32,6-10,1.151491331,0.849021842,4.14607639,0.385309808,1.977617791,8.591822798
33,6-10,0.052926068,2.735041779,4.024806575,2.16236032,1.427104194,8.571345776
34,6-10,NA,2.524565781,3.673625505,0.641948883,1.226122017,8.239471092
35,6-10,NA,1.382444584,3.450041074,1.68397383,0.350638332,4.045937477
36,6-10,NA,NA,1.535370225,0.028641963,0.231261379,3.740208057
37,6-10,NA,NA,1.255346287,3.183763466,0.559979602,1.446566805
38,6-10,NA,NA,-0.430612846,0.831655913,-0.053998934,0.183936977
39,6-10,NA,NA,1.459407375,NA,0.271820818,-0.17371113
40,6-10,NA,NA,-1.545380689,NA,NA,NA
18,11-18,-0.325336542,NA,NA,NA,NA,NA
19,11-18,0.944748566,0.091659441,NA,NA,NA,NA
20,11-18,2.387220585,1.102103585,0.264200075,NA,NA,NA
21,11-18,4.699677803,1.81067034,1.056457242,0.624728041,NA,NA
22,11-18,6.437507336,1.963148726,1.349920286,1.642583967,0.175965468,NA
23,11-18,7.283263743,3.282375468,1.708235356,1.691385931,1.035124532,-0.057585401
24,11-18,8.775406939,1.823868361,2.502412029,1.773923074,1.167019398,0.912850447
25,11-18,7.98691312,2.976039987,2.655394024,2.335743039,1.64195098,0.743011375
26,11-18,4.240384073,2.936321691,1.276273527,2.670231705,2.373277976,0.91836583
27,11-18,4.587764381,3.135071513,2.945593282,1.978021673,2.034528171,1.460054523
28,11-18,6.949997929,4.429433129,2.622405087,1.924000817,3.086893586,1.211801699
29,11-18,6.891728093,3.090769696,2.835514186,2.565518974,2.37835952,1.93793417
30,11-18,6.760390691,3.331726025,0.56150392,1.652978774,2.563676783,2.854542638
31,11-18,4.640884545,0.840996979,0.717321349,1.572012653,2.870945355,3.03696906
32,11-18,3.225227865,2.802561541,0.620561412,0.9091385,2.161602977,1.588458855
33,11-18,2.214807043,0.820040318,NA,1.059979606,1.842378293,1.856850939
34,11-18,5.371613736,NA,NA,1.860805878,2.020335736,1.756486128
35,11-18,0.187033045,0.143345407,NA,1.350975594,2.530772736,1.050647065
36,11-18,0.268667196,-0.406417216,NA,0.700493335,1.874056813,0.409128478
37,11-18,-1.19711958,NA,NA,-0.296256737,2.306346609,NA
38,11-18,NA,NA,NA,NA,2.547761143,NA
18,19-30,-0.095834664,NA,NA,NA,NA,NA
19,19-30,-0.049826494,0.167868211,NA,NA,NA,NA
20,19-30,-0.131335125,0.349042981,0.187722767,NA,NA,NA
21,19-30,1.050754925,1.455115487,0.935466492,0.371556579,NA,NA
22,19-30,2.894186868,2.211686749,1.511892741,1.060236174,0.137677937,NA
23,19-30,2.98586874,2.007594942,2.859316915,1.740068319,0.791913949,0.356641399
24,19-30,3.179209088,2.076738806,2.241965394,2.129724061,1.219385576,1.572053187
25,19-30,3.380546557,1.489703934,2.280836376,2.525406862,1.197065281,2.338907264
26,19-30,3.216216577,2.297966491,2.687920961,2.315208,1.473139108,3.135087321
27,19-30,2.500681341,1.752304865,2.030591378,2.274535363,1.461225946,2.36480969
28,19-30,1.799857111,2.303183392,1.675585858,2.429307245,1.3762799,2.103746663
